one,1
one per one,1/1
minute [unit of angle],
second [unit of angle],""""
nil,()
British thermal unit (thermochemical) per pound degree Rankine,(Btuth/°R)/lb
centimetre per second bar,(cm/s)/bar
centimetre per second kelvin,(cm/s)/K
foot per second degree Fahrenheit,(ft/s)/°F
foot per second psi,(ft/s)/psi
inch per second degree Fahrenheit,(in/s)/°F
inch per second psi,(in/s)/psi
kilocalorie (international table) per gram kelvin,(kcalIT/K)/g
kilogram per cubic decimetre bar,(kg/dm³)/bar
kilogram per cubic decimetre kelvin,(kg/dm³)/K
kilogram per cubic metre pascal,(kg/m³)/Pa
kilogram per second pascal,(kg/s)/Pa
kilomole per cubic metre bar,(kmol/m³)/bar
kilomole per cubic metre kelvin,(kmol/m³)/K
pound (avoirdupois) per cubic foot degree Fahrenheit,(lb/ft³)/°F
pound (avoirdupois) per cubic foot psi,(lb/ft³)/psi
pound (avoirdupois) per hour degree Fahrenheit,(lb/h)/°F
pound (avoirdupois) per hour psi,(lb/h)/psi
pound (avoirdupois) per cubic inch degree Fahrenheit,(lb/in³)/°F
pound (avoirdupois) per cubic inch psi,(lb/in³)/psi
pound (avoirdupois) per minute psi,(lb/min)/psi
pound (avoirdupois) per second degree Fahrenheit,(lb/s)/°F
pound (avoirdupois) per second psi,(lb/s)/psi
metre per second bar,(m/s)/bar
metre per second kelvin,(m/s)/K
metre per second pascal,(m/s)/Pa
square metre per second pascal,(m²/s)/Pa
cubic metre per second square metre,(m³/s)/m²
cubic metre per second pascal,(m³/s)/Pa
milligram per cubic metre bar,(mg/m³)/bar
milligram per cubic metre kelvin,(mg/m³)/K
millilitre per square centimetre minute,(ml/min)/cm²
mole per kilogram bar,(mol/kg)/bar
mole per kilogram kelvin,(mol/kg)/K
mol per kilogram pascal,(mol/kg)/Pa
mole per litre bar,(mol/l)/bar
mole per litre kelvin,(mol/l)/K
mole per cubic metre bar,(mol/m³)/bar
mole per cubic metre kelvin,(mol/m³)/K
mol per cubic metre pascal,(mol/m³)/Pa
mole per cubiv metre to the power sum of stoichiometric numbers,(mol/m³)∑νB
newton second per square metre,(N/m²)·s
poundal second per square foot,(pdl/ft²)·s
poundal second per square inch,(pdl/in²)·s
tonne per day bar,(t/d)/bar
tonne per day kelvin,(t/d)/K
tonne per hour bar,(t/h)/bar
tonne per hour kelvin,(t/h)/K
tonne per cubic metre bar,(t/m³)/bar
tonne per cubic metre kelvin,(t/m³)/K
